Zona,Provincia/Ciudad,Dirección,Teléfono
ZONA 1,Imbabura,"Olmedo 438 entre Borrero y Grijalva",
ZONA 1,Esmeraldas,"Piedraita entre Sucre y Bolívar",
ZONA 1,Carchi,"Calle Sucre y Ayacucho",
ZONA 1,Sucumbíos,"Av. El Chofer y Jaime Roldós",
ZONA 2,Napo,"Barrio Polanda Cocha, calle Augusto Rueda y F. Monteros, Comando Policía.",062 870059
ZONA 2,Orellana,"Av. Alejandro Labaka, diagonal a la Gasolinera Móvil",062 832376
ZONA 3,Cotopaxi,"Av. Manabí entre Moreira y Alojuela",062 960791
ZONA 3,Tungurahua,"Guayaquil entre Cevallos y Sucre Edif. Carfons",062 724364
ZONA 3,Chimborazo,"Dirección: Junín y Las Palmeras sector Cond. Chimborazo",062 956261
ZONA 3,Pastaza,"Eugenio Espejo y Cristobal Colón",032 983039
ZONA 3,Bolívar,"Calle Antonio Vela y Padre Salcedo Edif. Registro Civil, 3er. Piso.",052 735872
ZONA 4,Manabí,"Vía Quinindé junto al parque La Madre",042 777778
ZONA 4,Santo Domingo de los Tsáchilas,"Av. Carlos Espinoza entre Quinta y Sexta",052 521146
ZONA 5,Guayas,"Plaza Dañin y Francisco Boloña Edif. Público del Sector Social. Piso 5-6 Guayaquil",
ZONA 5,Guayas,"El Empalme: Vía Quevedo junto al parque La Madre",
ZONA 5,Guayas,"Naranjal: Av. Panamericana a 100 mts de la Gasolinera Primax",
ZONA 5,Guayas,"Milagro: Av. Babahoyo s/n y Otto Arosemena. Edif. Villavicencio",
ZONA 5,Guayas,"Salitre: Santa Lucía Av. 3 de febrero vía Palestina.",
ZONA 5,Los Ríos,"General Barona entre Olmedo y Mejía",
ZONA 5,Santa Elena,"Calle Antigua Colombia y Rocafuerte",
ZONA 5,Galápagos,"Av. Charles Darwin y 12 de Febrero San Cristobal. Puerto Baquerizo Moreno",
ZONA 6,Azuay,"Av. Remigio Crespo y Los Ríos.",072 837014
ZONA 6,Cañar,"Calle Antigua Colombia y Rocafuerte",072 245306
ZONA 6,Morona Santiago,"Av. Luis Felipe Jaramillo y Benjamín Olmedo atrás del cementerio municipal",072 700009
ZONA 7,Loja,"Lourdes 438 entre Olmedo y Bernardo Valvidiezo",072 589601
ZONA 7,Zamora Chinchipe,"Av. Héroes de Paquisha y Pasaje s/n, Edif. Solca",072 605185
ZONA 7,El Oro,"Bolívar 514 entre Tarqui y Colón",072 966569
ZONA 8,Guayaquil,"Plaza Dañin y Francisco Boloña Edif. Público del Sector Social. Piso 5-6",043 714780
ZONA 9,Pichincha,"6 de Diciembre y Wimper",023 238381